Student_ID,Week_Start,Attendance_Weekly,Engagement_Weekly,Behaviour_Incidents_Weekly,MonthStart
S1000,2025-01-06,79.83,54.54,2,2025-01-01
S1000,2025-01-13,75.01,61.55,1,2025-01-01
S1000,2025-01-20,76.36,66.06,2,2025-01-01
S1000,2025-01-27,80.32,55.62,1,2025-01-01
S1000,2025-02-03,81.56,60.48,1,2025-02-01
S1000,2025-02-10,82.59,59.85,1,2025-02-01
S1000,2025-02-17,80.52,62.97,0,2025-02-01
S1000,2025-02-24,80.21,73.63,1,2025-02-01
S1000,2025-03-03,76.48,64.48,0,2025-03-01
S1000,2025-03-10,78.58,55.74,0,2025-03-01
S1000,2025-03-17,80.87,65.24,2,2025-03-01
S1000,2025-03-24,76.92,62.17,0,2025-03-01
S1001,2025-01-06,100.0,76.0,0,2025-01-01
S1001,2025-01-13,100.0,71.18,1,2025-01-01
S1001,2025-01-20,95.63,68.85,0,2025-01-01
S1001,2025-01-27,98.08,69.12,0,2025-01-01
S1001,2025-02-03,97.4,76.58,0,2025-02-01
S1001,2025-02-10,99.0,71.75,0,2025-02-01
S1001,2025-02-17,100.0,75.53,0,2025-02-01
S1001,2025-02-24,98.61,75.92,0,2025-02-01
S1001,2025-03-03,96.17,63.97,0,2025-03-01
S1001,2025-03-10,100.0,71.62,1,2025-03-01
S1001,2025-03-17,100.0,74.52,0,2025-03-01
S1001,2025-03-24,100.0,66.8,0,2025-03-01
S1002,2025-01-06,83.83,60.01,1,2025-01-01
S1002,2025-01-13,85.02,70.07,1,2025-01-01
S1002,2025-01-20,84.68,64.65,1,2025-01-01
S1002,2025-01-27,80.64,59.25,3,2025-01-01
S1002,2025-02-03,88.88,65.05,1,2025-02-01
S1002,2025-02-10,84.36,61.49,2,2025-02-01
S1002,2025-02-17,86.28,68.62,0,2025-02-01
S1002,2025-02-24,80.64,67.62,1,2025-02-01
S1002,2025-03-03,85.05,76.8,1,2025-03-01
S1002,2025-03-10,85.52,68.51,1,2025-03-01
S1002,2025-03-17,86.05,75.97,1,2025-03-01
S1002,2025-03-24,82.2,64.85,0,2025-03-01
S1003,2025-01-06,100.0,73.03,1,2025-01-01
S1003,2025-01-13,99.89,79.39,0,2025-01-01
S1003,2025-01-20,100.0,76.85,0,2025-01-01
S1003,2025-01-27,92.55,75.97,0,2025-01-01
S1003,2025-02-03,97.7,70.69,0,2025-02-01
S1003,2025-02-10,100.0,75.3,0,2025-02-01
S1003,2025-02-17,95.84,64.31,1,2025-02-01
S1003,2025-02-24,99.79,84.97,1,2025-02-01
S1003,2025-03-03,97.45,67.25,0,2025-03-01
S1003,2025-03-10,96.77,87.13,2,2025-03-01
S1003,2025-03-17,100.0,76.67,0,2025-03-01
S1003,2025-03-24,98.83,70.43,0,2025-03-01
S1004,2025-01-06,97.39,71.78,3,2025-01-01
S1004,2025-01-13,98.39,80.84,0,2025-01-01
S1004,2025-01-20,99.41,76.66,0,2025-01-01
S1004,2025-01-27,100.0,88.34,0,2025-01-01
S1004,2025-02-03,95.08,70.92,0,2025-02-01
S1004,2025-02-10,100.0,78.05,0,2025-02-01
S1004,2025-02-17,100.0,72.49,0,2025-02-01
S1004,2025-02-24,100.0,76.76,0,2025-02-01
S1004,2025-03-03,98.26,81.16,0,2025-03-01
